tienda,categoria,titulo,precio,cuotas,envio,url,fecha
TMS,sommiers,Cannon Espuma Exclusive sommier 1 plaza media 100x190 cm mas colchon color gris marrón,671.300,"Mismo precio 12 cuotas de 
$
55.941",-,https://www.mercadolibre.com.ar/cannon-espuma-exclusive-sommier-1-plaza-media-100x190-cm-mas-colchon-color-gris-marron/p/MLA10029649?pdp_filters=official_store%3A226384#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=1&type=product&tracking_id=b8328391-657e-49b3-b559-0ccce3d80050&wid=MLA2072486458&sid=search,2026-04-27 09:31
TMS,sommiers,Cannon Resortes Doral - Negro/Blanco - 1 1/2 plaza - 190 cm - 100 cm,752.494,"Mismo precio 12 cuotas de 
$
62.707",-,https://www.mercadolibre.com.ar/cannon-resortes-doral-negroblanco-1-12-plaza-190-cm-100-cm/p/MLA15124328?pdp_filters=official_store%3A226384#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=2&type=product&tracking_id=b8328391-657e-49b3-b559-0ccce3d80050&wid=MLA2072536640&sid=search,2026-04-27 09:31
TMS,sommiers,Sommier Cannon Renovation 35kg 2 plazas 140cm x 190cm,761.639,"Mismo precio 6 cuotas de 
$
126.939",-,https://www.mercadolibre.com.ar/sommier-cannon-renovation-35kg-2-plazas-140cm-x-190cm/p/MLA9744757?pdp_filters=official_store%3A226384#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=3&type=product&tracking_id=b8328391-657e-49b3-b559-0ccce3d80050&wid=MLA1471920365&sid=search,2026-04-27 09:31
TMS,sommiers,Sommier Cannon Exclusive Doble Pillow 140cm x 190cm Premium color marrón y beige,727.228,"Mismo precio 6 cuotas de 
$
121.204",-,https://www.mercadolibre.com.ar/sommier-cannon-exclusive-doble-pillow-140cm-x-190cm-premium-color-marron-y-beige/p/MLA15142450?pdp_filters=official_store%3A226384#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=4&type=product&tracking_id=b8328391-657e-49b3-b559-0ccce3d80050&wid=MLA2002469582&sid=search,2026-04-27 09:31
TMS,sommiers,Sommier Y Colchon Cannon Doral Pillow Top 2 Plazas 190x140 Color Gris,919.932,"Mismo precio 6 cuotas de 
$
153.322",-,https://www.mercadolibre.com.ar/sommier-y-colchon-cannon-doral-pillow-top-2-plazas-190x140-color-gris/p/MLA26330167?pdp_filters=official_store%3A226384#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=5&type=product&tracking_id=b8328391-657e-49b3-b559-0ccce3d80050&wid=MLA2004121376&sid=search,2026-04-27 09:31
TMS,sommiers,Sommier Plaza Media Cannon Exclusive 100x190x29 Cm - Pillow Color Marrón/Beige,782.942,"Mismo precio 12 cuotas de 
$
65.245",-,https://www.mercadolibre.com.ar/sommier-plaza-media-cannon-exclusive-100x190x29-cm-pillow-color-marronbeige/p/MLA15142449?pdp_filters=official_store%3A226384#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=6&type=product&tracking_id=b8328391-657e-49b3-b559-0ccce3d80050&wid=MLA2072741618&sid=search,2026-04-27 09:31
TMS,sommiers,Cannon Resortes Doral Pillow Top - Negro/Blanco - King - 200 cm - 180 cm (Incluye: Con base dividida),1.156.000,"24 cuotas de 
$
92.932",-,https://www.mercadolibre.com.ar/cannon-resortes-doral-pillow-top-negroblanco-king-200-cm-180-cm-incluye-con-base-dividida/p/MLA15142306?pdp_filters=official_store%3A226384#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=7&type=product&tracking_id=b8328391-657e-49b3-b559-0ccce3d80050&wid=MLA1435700133&sid=search,2026-04-27 09:31
TMS,sommiers,Sommier Cannon Renovation 200x160 Queen Espuma Premium Color Gris oscuro/Blanco,957.000,"24 cuotas de 
$
76.934",-,https://www.mercadolibre.com.ar/sommier-cannon-renovation-200x160-queen-espuma-premium-color-gris-oscuroblanco/p/MLA15124380?pdp_filters=official_store%3A226384#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=8&type=product&tracking_id=b8328391-657e-49b3-b559-0ccce3d80050&wid=MLA1445876921&sid=search,2026-04-27 09:31
TMS,sommiers,Cannon Espuma Princess 1 plaza 190x80cm sommier blanco,477.014,"Mismo precio 12 cuotas de 
$
39.751",-,https://www.mercadolibre.com.ar/cannon-espuma-princess-1-plaza-190x80cm-sommier-blanco/p/MLA9816516?pdp_filters=official_store%3A226384#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=9&type=product&tracking_id=b8328391-657e-49b3-b559-0ccce3d80050&wid=MLA2072612450&sid=search,2026-04-27 09:31
TMS,sommiers,Colchón Y Sommier Cannon Exclusive Pillow Top De 200 X 200 Color Gris/Marrón,1.209.000,"24 cuotas de 
$
97.193",-,https://www.mercadolibre.com.ar/colchon-y-sommier-cannon-exclusive-pillow-top-de-200-x-200-color-grismarron/p/MLA15142453?pdp_filters=official_store%3A226384#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=10&type=product&tracking_id=b8328391-657e-49b3-b559-0ccce3d80050&wid=MLA1907134806&sid=search,2026-04-27 09:31
